tpep_pickup_datetime,tpep_dropoff_datetime,dropoff_longitude,dropoff_latitude,trip_duration
2016-01-01 01:15:31,2016-01-02 00:00:00,-74.0056381225586,40.725624084472656,81869.0
2016-01-03 11:40:44,2016-01-04 11:25:30,-74.0054931640625,40.72573471069336,85486.0
2016-01-03 16:28:09,2016-01-04 15:56:04,-74.00408172607422,40.72532653808594,84475.0
2016-01-06 10:05:29,2016-01-06 11:15:39,-74.00556945800781,40.72563934326172,4210.0
2016-01-06 18:01:08,2016-01-06 19:11:00,-74.00554656982422,40.72564697265625,4192.0
2016-01-08 18:32:35,2016-01-08 19:43:18,-74.00543975830078,40.72585678100586,4243.0
2016-01-10 15:52:36,2016-01-10 16:54:19,-74.00563049316406,40.7256088256836,3703.0
2016-01-15 22:00:04,2016-01-16 21:11:46,-74.00479125976561,40.7255973815918,83502.0
2016-01-16 03:12:48,2016-01-17 02:42:00,-74.00424194335938,40.725215911865234,84552.0
2016-01-12 16:21:35,2016-01-12 17:51:49,-74.00543212890625,40.72567367553711,5414.0
2016-01-28 14:16:37,2016-01-28 15:18:03,-74.00547027587889,40.72572708129882,3686.0
2016-01-12 17:54:35,2016-01-12 19:16:45,-74.00540161132812,40.725860595703125,4930.0
2016-01-28 15:26:09,2016-01-28 16:34:31,-74.0047149658203,40.72545623779297,4102.0
2016-01-12 22:14:19,2016-01-13 21:55:25,-74.00441741943358,40.72559356689453,85266.0
2016-01-25 08:48:15,2016-01-25 09:58:39,-74.00414276123048,40.72553634643555,4224.0
2016-01-25 11:19:48,2016-01-25 12:33:48,-74.0056381225586,40.72555160522461,4440.0
2016-01-13 14:43:37,2016-01-13 15:54:27,-74.00569915771484,40.7255744934082,4250.0
2016-01-13 17:11:30,2016-01-14 17:10:41,-74.00371551513672,40.725391387939446,86351.0
2016-01-25 17:20:25,2016-01-25 18:33:44,-74.00565338134764,40.725780487060554,4399.0
2016-01-25 19:08:39,2016-01-25 20:41:10,-74.0052261352539,40.725563049316406,5551.0
2016-01-11 06:43:17,2016-01-11 07:53:25,-74.0054931640625,40.72666931152344,4208.0
2016-01-11 06:57:01,2016-01-11 08:24:47,-74.00546264648438,40.72570037841797,5266.0
2016-01-11 06:58:34,2016-01-11 08:17:26,-74.00553894042967,40.72555923461913,4732.0
2016-01-14 15:18:21,2016-01-14 16:19:52,-74.00567626953125,40.72559356689453,3691.0
2016-01-14 15:47:24,2016-01-15 15:44:45,-74.00564575195312,40.72646331787109,86241.0
2016-01-26 07:37:41,2016-01-27 06:50:50,-74.00566864013672,40.726459503173835,83589.0
2016-01-26 08:05:38,2016-01-26 09:10:36,-74.00396728515625,40.725830078125,3898.0
2016-01-26 08:13:25,2016-01-26 09:27:28,-74.00538635253906,40.72566223144531,4443.0
2016-01-26 08:43:52,2016-01-26 10:58:33,-74.00398254394531,40.72636032104492,8081.0
2016-01-26 09:36:39,2016-01-26 10:45:26,-74.00562286376953,40.72565841674805,4127.0
2016-01-26 09:38:53,2016-01-26 11:17:07,-74.00550842285155,40.72565841674805,5894.0
2016-01-26 09:55:31,2016-01-26 11:19:24,-74.00403594970702,40.72566223144531,5033.0
2016-01-26 10:34:46,2016-01-26 11:50:09,-74.00562286376953,40.72566986083984,4523.0
2016-01-26 11:13:28,2016-01-26 12:42:30,-74.00547027587889,40.725601196289055,5342.0
2016-01-26 11:49:59,2016-01-26 12:58:50,-74.00553131103516,40.725528717041016,4131.0
2016-01-26 12:04:41,2016-01-26 13:09:08,-74.00547027587889,40.72565841674805,3867.0
2016-01-26 13:54:20,2016-01-26 15:05:23,-74.00396728515625,40.724830627441406,4263.0
2016-01-11 16:10:20,2016-01-11 17:14:23,-74.0047149658203,40.7256088256836,3843.0
2016-01-15 07:08:42,2016-01-15 08:31:41,-74.00560760498048,40.7263069152832,4979.0
2016-01-27 10:45:14,2016-01-27 12:03:42,-74.00568389892578,40.72558975219727,4708.0
2016-01-27 10:52:49,2016-01-27 12:28:45,-74.00534057617188,40.72635269165039,5756.0
2016-01-18 10:52:51,2016-01-19 10:38:32,-74.00542449951173,40.72589111328125,85541.0
2016-01-19 15:33:27,2016-01-19 16:34:37,-74.00543975830078,40.72557067871094,3670.0
2016-01-19 22:17:22,2016-01-19 23:32:22,-74.00382995605469,40.725391387939446,4500.0
2016-01-29 15:21:48,2016-01-29 16:39:44,-74.0055160522461,40.7256088256836,4676.0
2016-01-29 15:24:57,2016-01-29 16:50:36,-74.00553131103516,40.72573471069336,5139.0
2016-01-30 20:21:07,2016-01-31 20:19:44,-74.00439453125,40.7256088256836,86317.0
2016-01-31 16:26:09,2016-01-31 17:43:19,-74.00420379638672,40.72487258911133,4630.0
2016-01-20 08:40:10,2016-01-20 09:42:47,-74.00400543212889,40.72598648071289,3757.0
2016-01-21 08:06:52,2016-01-21 09:32:59,-74.00560760498048,40.726470947265625,5167.0
2016-01-21 08:11:23,2016-01-21 09:23:31,-74.005615234375,40.725616455078125,4328.0
2016-01-21 08:54:28,2016-01-21 09:56:13,-74.00443267822266,40.72483825683594,3705.0
2016-01-21 11:12:08,2016-01-21 12:18:58,-74.00550079345702,40.72564697265625,4010.0
2016-01-21 14:24:38,2016-01-21 15:39:31,-74.00562286376953,40.725631713867195,4493.0
2016-01-22 14:19:45,2016-01-22 15:40:58,-74.00558471679686,40.72559356689453,4873.0
2016-01-22 16:09:53,2016-01-22 17:22:47,-74.00523376464844,40.7255973815918,4374.0
2016-01-22 16:21:03,2016-01-22 17:23:57,-74.00473022460938,40.72558975219727,3774.0
2016-01-22 17:07:03,2016-01-22 18:36:24,-74.0050277709961,40.72628021240234,5361.0
2016-01-22 17:12:47,2016-01-22 18:23:35,-74.00459289550781,40.72515869140625,4248.0
2016-01-22 17:31:40,2016-01-22 18:56:45,-74.00540161132812,40.725730895996094,5105.0
2016-01-04 16:28:53,2016-01-04 17:33:28,-74.00558471679686,40.725540161132805,3875.0
2016-01-04 14:51:38,2016-01-04 15:58:44,-74.00559997558595,40.725631713867195,4026.0
2016-01-06 09:29:05,2016-01-06 10:30:38,-74.00556182861328,40.72563934326172,3693.0
2016-01-06 21:53:04,2016-01-07 21:49:19,-74.00461578369139,40.7254753112793,86175.0
2016-01-08 06:58:22,2016-01-08 08:04:52,-74.00550842285155,40.7258415222168,3990.0
